CODE,who_region
TWN,WPRO
SXM,PAHO
TLS,SEARO
FRO,EURO
GIB,EURO
FLK,PAHO
VIR,PAHO
LIE,EURO
NFK,OTHER
XXV,OTHER
FSM,WPRO
REU,AFRO
TCA,PAHO
BES,PAHO
VAT,EURO
GGY,EURO
ALA,EURO
IMN,EURO
JEY,EURO
XXU,OTHER
XXJ,OTHER
CPV,AFRO
SYR,EMRO
LTU,EURO
ARM,EURO
JAM,PAHO
CUW,PAHO
BHR,EMRO
KEN,AFRO
TTO,PAHO
PER,PAHO
SWE,EURO
SPM,PAHO
UGA,AFRO
TJK,EURO
KOR,WPRO
MLI,AFRO
COL,PAHO
NIU,WPRO
ZMB,AFRO
KAZ,EURO
NIC,PAHO
KNA,PAHO
NGA,AFRO
FIN,EURO
JPN,WPRO
LUX,EURO
LBY,EMRO
BMU,PAHO
NOR,EURO
SEN,AFRO
ISR,EURO
ATG,PAHO
MTQ,PAHO
PSE,EMRO
BGR,EURO
LCA,PAHO
GHA,AFRO
SGP,WPRO
NCL,WPRO
ESH,AFRO
LBR,AFRO
MOZ,AFRO
BHS,PAHO
BRB,PAHO
HND,PAHO
HKG,WPRO
EGY,EMRO
CHL,PAHO
STP,AFRO
DNK,EURO
URY,PAHO
THA,SEARO
POL,EURO
COG,AFRO
GEO,EURO
MMR,SEARO
GUM,WPRO
SMR,EURO
GIN,AFRO
BEN,AFRO
SYC,AFRO
VUT,WPRO
DEU,EURO
MAC,WPRO
SOM,EMRO
UKR,EURO
PCN,WPRO
COK,WPRO
GMB,AFRO
VGB,PAHO
AIA,PAHO
BOL,PAHO
PHL,WPRO
HUN,EURO
MUS,AFRO
WSM,WPRO
GLP,PAHO
BFA,AFRO
GUF,PAHO
SAU,EMRO
GRD,PAHO
MEX,PAHO
DMA,PAHO
PAK,EMRO
CYM,PAHO
EST,EURO
SLB,WPRO
SWZ,AFRO
IND,SEARO
LKA,SEARO
KHM,WPRO
JOR,EMRO
NZL,WPRO
GNQ,AFRO
GUY,PAHO
MAR,EMRO
USA,PAHO
PAN,PAHO
AUS,WPRO
IRL,EURO
MLT,EURO
AFG,EMRO
MNP,WPRO
VCT,PAHO
QAT,EMRO
BLR,EURO
RWA,AFRO
MYT,AFRO
TGO,AFRO
CRI,PAHO
BTN,SEARO
SVN,EURO
IRQ,EMRO
CHE,EURO
UZB,EURO
MAF,PAHO
ANT,PAHO
MRT,AFRO
ALB,EURO
NRU,WPRO
MNG,WPRO
PRK,SEARO
BIH,EURO
ISL,EURO
CIV,AFRO
COM,AFRO
CZE,EURO
CUB,PAHO
LVA,EURO
KIR,WPRO
TUR,EURO
ARG,PAHO
XKX,EURO
ITA,EURO
X11,EURO
PRY,PAHO
GRL,EURO
BLZ,PAHO
HRV,EURO
ERI,AFRO
TZA,AFRO
PRT,EURO
AZE,EURO
ZWE,AFRO
SSD,AFRO
GTM,PAHO
FRA,EURO
CAN,PAHO
SLE,AFRO
BEL,EURO
X10,EURO
MDG,AFRO
BGD,SEARO
BRN,WPRO
ECU,PAHO
ARE,EMRO
MSR,PAHO
MHL,WPRO
LSO,AFRO
PRI,PAHO
KWT,EMRO
COD,AFRO
TCD,AFRO
HTI,PAHO
PNG,WPRO
PLW,WPRO
GBR,EURO
TUV,WPRO
ZAF,AFRO
MNE,EURO
MKD,EURO
VNM,WPRO
ETH,AFRO
GRC,EURO
VEN,PAHO
ESP,EURO
SLV,PAHO
LBN,EMRO
NAM,AFRO
TUN,EMRO
DJI,EMRO
X12,EURO
TKL,WPRO
MYS,WPRO
TKM,EURO
RUS,EURO
MCO,EURO
OMN,EMRO
SRB,EURO
ROU,EURO
BRA,PAHO
GNB,AFRO
CMR,AFRO
WLF,WPRO
ASM,WPRO
MWI,AFRO
NER,AFRO
IDN,SEARO
SUR,PAHO
BDI,AFRO
GAB,AFRO
CAF,AFRO
CYP,EURO
MDV,SEARO
NPL,SEARO
ABW,PAHO
YEM,EMRO
KGZ,EURO
IRN,EMRO
DOM,PAHO
MDA,EURO
CHN,WPRO
TON,WPRO
SHN,AFRO
NLD,EURO
SDN,EMRO
FJI,WPRO
AUT,EURO
PYF,WPRO
AND,EURO
BLM,PAHO
LAO,WPRO
AGO,AFRO
SVK,EURO
DZA,AFRO
BWA,AFRO
SCG,EURO
